Этап,Группа,Функция,Описание,Ожидаемый результат,Приоритет,Сложность
MVP,Календарь,Раздел Календарь,Создание основного раздела календаря в интерфейсе,"В общем меню добавлена кнопка ""Календарь"" с иконкой, по нажатию открывается календарь. По-умолчанию отображается вид, который был использован пользователем ранее (первичный - месяц). Это обеспечивает единую точку входа для всех календарных функций и создает привычный интерфейс для перехода от Outlook",Высокий,Низкая
MVP,Календарь,Отображение календаря,Создание трех видов отображения: месяц/неделя/день,"Реализованы способы отображения элементов (совещаний, задач из разных календарей), в виде месяц, неделя, день. Пользователь может переключать вид отображения. Внутри вида отображения может переключать периоды. Если дни - дни, недели - недели, месяц - месяцы. Это дает гибкость планирования и соответствует привычкам пользователей Outlook",Высокий,Средняя
MVP,Календарь,Карточки событий,Отображение событий в виде кликабельных карточек,"Реализованы карточки для всех видов отображения. Карточка занимает соответствующее время, в зависимости от Продолжительности элементов. Один цвет. На карточках отображены: название, продолжительность. Карточки кликабельны для быстрого доступа к деталям события",Высокий,Средняя
MVP,Календарь,Навигация по времени,Переключение между периодами в календаре,"Пользователь может легко перемещаться по временной шкале внутри выбранного вида отображения, используя интуитивные элементы управления. Навигация работает быстро и отзывчиво, обеспечивая комфортное планирование на любые временные периоды",Высокий,Низкая
MVP,Календарь,Текущее время,Отображение линии текущего времени в дневном и недельном виде,"В видах отображения: день, неделя -- пользователь видит линию, с точным текущим временем, тем самым пользователь может быстро сориентироваться сколько сейчас времени и какие ближайшие встречи предстоят. Это критично для активного использования календаря в течение рабочего дня",Средний,Низкая
MVP,Интеграция,Microsoft Exchange,Синхронизация с корпоративным календарем,"Пользователь может подключить свой календарь Microsoft Exchange (внутренний контур компании). События из Exchange отображаются в системе, создается единое календарное пространство. Это ключевая функция для перевода сотрудников из Outlook в новую систему без потери существующих событий",Высокий,Высокая
MVP,Совещания,Раздел Совещания,Создание основного раздела совещаний,"В общем меню добавлена кнопка ""Совещания"" с иконкой, по нажатию открывается раздел с совещаниями. По-умолчанию отображается вид, который был использован пользователем ранее (первичный - список). Создается центральное место для управления всеми встречами компании",Высокий,Низкая
MVP,Совещания,Создание совещания,Возможность планирования новых совещаний,"Реализована возможность создания совещания с выбором типа (стратегическое/рабочее), выбор даты и времени, описание, участников. Автоматически генерируется ссылка на видеовстречу, есть возможность выбрать переговорку, выбрать календарь, настроить напоминание о встрече. Это обеспечивает полноценное планирование встреч без использования внешних инструментов",Высокий,Средняя
MVP,Совещания,Типы совещаний,Выбор типа совещания при создании,"При создании совещания пользователь выбирает тип: стратегическое или рабочее. Типы влияют на шаблоны полей, уведомления и последующую аналитику. Это позволяет сразу правильно категоризировать встречи и формировать корректную отчетность",Средний,Низкая
MVP,Совещания,Участники совещания,Добавление и управление участниками,"Можно добавлять участников совещания из списка сотрудников компании, отправлять им приглашения, видеть статус подтверждения участия. Выявление конфликтов и наложений на календари участников. Это обеспечивает координацию встреч и избегание конфликтов расписания",Высокий,Средняя
